1 298.98	2936	0	761639
1 295.38	0	0	766658
1 303.60	0	0	764718
1 300.41	0	0	765130
1 308.92	0	0	765871
2 206.44	0	0	764658
2 212.88	0	0	765949
2 213.04	0	0	764118
2 200.73	0	0	769101
2 201.40	0	0	764848
4 203.65	0	0	768619
4 197.81	0	0	764151
4 217.70	0	0	768615
4 222.64	0	0	763544
4 201.38	0	0	768636
8 219.04	0	0	763660
8 223.05	0	0	761908
8 235.04	0	0	760894
8 235.49	0	0	764094
8 224.14	0	0	762409
12 228.92	0	0	760677
12 225.57	0	0	760249
12 226.11	0	0	760559
12 226.75	0	0	760506
12 233.19	0	0	760476
16 231.46	0	0	767683
16 232.28	0	0	759709
16 230.41	0	0	760233
16 235.54	0	0	760227
16 227.66	0	0	761948
